f3_0.1;f3_0.2;f3_0.3;f3_0.4;f3_0.5;f3_0.6;f3_0.7;f3_0.8;f3_0.9;f3_1.0
0.332901;0.33277303;0.33260277;0.33271858;0.33284128;0.33261138;0.33283693;0.33274093;0.3328925;0.33265647
0.33227617;0.33219716;0.33179715;0.33147755;0.3313494;0.33089194;0.33062822;0.33035752;0.33001876;0.3295741
0.33264342;0.33247313;0.33230054;0.3324719;0.3323671;0.33214384;0.3321097;0.33208796;0.33204272;0.33180422
0.3257673;0.31867978;0.3113756;0.30398348;0.2967719;0.28927872;0.28168005;0.27412295;0.26614356;0.25860325
0.33237976;0.33228725;0.33186132;0.33170584;0.33135396;0.33145353;0.33120465;0.33064547;0.33077303;0.33061877
0.3325285;0.3324896;0.33259436;0.3324199;0.33278853;0.33252162;0.3324567;0.33264863;0.33247292;0.33240283
0.3322919;0.3318663;0.33130616;0.3309837;0.33070004;0.33008444;0.32997796;0.32974765;0.32940915;0.32905415
0.32822442;0.32333437;0.31850785;0.3139096;0.30917722;0.30464754;0.2998506;0.2955126;0.2908808;0.28683305
0.33733106;0.34236106;0.34750807;0.35285473;0.3582872;0.36365086;0.369711;0.375945;0.38197997;0.3885357
0.33234516;0.33190832;0.33156407;0.33129555;0.33087376;0.33058596;0.33008492;0.3299789;0.3297161;0.32942116
0.33246204;0.33265856;0.33250192;0.33246225;0.33214062;0.3322304;0.332116;0.33192247;0.33177203;0.33192772
0.32763335;0.3229519;0.31787276;0.31274796;0.3081874;0.30305865;0.29806492;0.29321525;0.2883293;0.2836012
0.33192462;0.3317049;0.3309798;0.33030093;0.3298879;0.329352;0.328499;0.32829067;0.32793102;0.32719868
0.33235964;0.33194888;0.3314863;0.3310208;0.33045986;0.33031583;0.32964492;0.32939196;0.3289508;0.32854357
0.33245796;0.33165696;0.3312943;0.33074972;0.33028367;0.3297943;0.32932797;0.32861772;0.32822275;0.32757246
0.3321679;0.33174512;0.33106425;0.330895;0.33023852;0.32998163;0.32973978;0.3292916;0.3287837;0.32866934
0.32860464;0.3244221;0.32000223;0.3159482;0.3114093;0.30729523;0.30293018;0.298915;0.29471195;0.29094717
0.33219075;0.33176675;0.33155227;0.33106476;0.33073518;0.3300244;0.32951045;0.32937482;0.32884833;0.32840863
