f0_0.1;f0_0.2;f0_0.3;f0_0.4;f0_0.5;f0_0.6;f0_0.7;f0_0.8;f0_0.9;f0_1.0
0.82113004;0.82056195;0.8207199;0.8206387;0.82075983;0.820706;0.8209623;0.8207753;0.8207989;0.82070106
0.8205652;0.8209324;0.8207699;0.82068735;0.8207545;0.8205372;0.8206758;0.82067484;0.8207506;0.8226435
0.82072484;0.82107615;0.8208997;0.82096237;0.8203743;0.8208477;0.82079077;0.82071656;0.8207605;0.8219879
0.82074356;0.8206157;0.8207195;0.82094;0.82074326;0.8207351;0.82093555;0.82066524;0.8210831;0.82869107
0.8207827;0.8209059;0.8205131;0.82082266;0.8210036;0.8210123;0.82077295;0.82087696;0.82089794;0.820857
0.8207372;0.82052296;0.8205386;0.82082677;0.8206094;0.8210975;0.82044065;0.82086545;0.82055384;0.8208351
0.82048064;0.820593;0.8217146;0.82160336;0.8217221;0.8213976;0.8216546;0.82239085;0.82174325;0.8220362
0.82074153;0.8205823;0.82713795;0.8269527;0.83265084;0.832417;0.83214736;0.83667076;0.8359995;0.8388839
0.8206013;0.8209486;0.82105106;0.82108074;0.8213936;0.8214703;0.8214674;0.8213577;0.8216932;0.8221679
0.8206702;0.8210524;0.82095844;0.8204402;0.8220989;0.8220116;0.8219385;0.82228327;0.8222088;0.82322556
0.82056725;0.8209159;0.8207039;0.8208343;0.8217263;0.82158214;0.8218501;0.82126445;0.82160467;0.8224174
0.8208965;0.82074225;0.82042754;0.82081753;0.82702774;0.8268863;0.8269503;0.8274081;0.8273109;0.8314073
0.8204627;0.823798;0.827957;0.8300697;0.83218265;0.8340564;0.83553094;0.83664703;0.8380153;0.8377107
0.82099885;0.82341546;0.8270434;0.82969093;0.8316091;0.8326559;0.8338791;0.8346672;0.8351025;0.83513814
0.8210482;0.8239499;0.8295251;0.8320972;0.8345081;0.8372305;0.83939564;0.8411353;0.84298414;0.84458035
0.8207523;0.82051575;0.8204801;0.8221917;0.8217284;0.8220603;0.8230199;0.8228763;0.8229228;0.823526
0.8208903;0.8206574;0.8208749;0.826716;0.8259235;0.82612735;0.8305691;0.83065087;0.8310722;0.833514
0.82188314;0.8236787;0.82460976;0.82580614;0.82710665;0.82759076;0.82800746;0.829389;0.8299379;0.8309911
