f2_0.1;f2_0.2;f2_0.3;f2_0.4;f2_0.5;f2_0.6;f2_0.7;f2_0.8;f2_0.9;f2_1.0
0.88428545;0.88471806;0.88473105;0.8845051;0.8846427;0.8839806;0.8844144;0.8842193;0.8844076;0.8844317
0.8839333;0.88443524;0.8843143;0.8840949;0.8841466;0.8848714;0.88455343;0.8845532;0.88456863;0.8852952
0.88444895;0.884482;0.8842404;0.88426614;0.88444847;0.8847683;0.8843392;0.8845169;0.88450754;0.8856583
0.884361;0.8844158;0.8845378;0.8843478;0.88495505;0.8845316;0.88427657;0.8841842;0.8846832;0.8844358
0.8846495;0.88432384;0.8846989;0.88447726;0.88452274;0.88440436;0.8849165;0.88419634;0.8847071;0.88475555
0.8843286;0.8844671;0.88455063;0.8841141;0.8848025;0.88437545;0.8841018;0.8840848;0.88459325;0.88457644
0.8843522;0.8843521;0.8848714;0.88478863;0.8845774;0.884371;0.88461286;0.8845922;0.88452524;0.8844602
0.88462424;0.88471484;0.88726246;0.88765025;0.88929754;0.88920885;0.8891894;0.8898954;0.88930553;0.88943446
0.8841249;0.88466203;0.887121;0.8871562;0.8890093;0.8883723;0.8884482;0.8882377;0.8888236;0.88788444
0.88443583;0.8847167;0.88479406;0.8846674;0.88532186;0.88564473;0.8851992;0.88585234;0.88541216;0.8858077
0.88435084;0.88397264;0.88418794;0.88471293;0.8854475;0.88506067;0.88517433;0.8856138;0.8852056;0.8861632
0.8843474;0.88420737;0.8850864;0.8845533;0.8850856;0.885089;0.885562;0.88559836;0.88520676;0.8853655
0.88474905;0.8886897;0.89577156;0.8975192;0.8998588;0.9008858;0.9017467;0.90168786;0.902107;0.9018814
0.8842292;0.8885106;0.8940925;0.8964187;0.89816564;0.89831716;0.8996279;0.89939713;0.8995718;0.8999495
0.88469905;0.8900143;0.89921;0.90273356;0.90596724;0.9079766;0.90949327;0.9098048;0.9100358;0.90964985
0.88449717;0.8843419;0.8844449;0.8858373;0.88505954;0.88535494;0.88610274;0.8864835;0.88621914;0.8867255
0.88432866;0.8848885;0.8842693;0.88595223;0.8861642;0.8862008;0.88663;0.886985;0.8867281;0.88669294
0.88659424;0.8885377;0.8902352;0.8915065;0.89316475;0.8928801;0.8933397;0.8936405;0.89400405;0.89368206
