f2_0.1;f2_0.2;f2_0.3;f2_0.4;f2_0.5;f2_0.6;f2_0.7;f2_0.8;f2_0.9;f2_1.0
0.88455635;0.8842578;0.88501453;0.8846941;0.8849294;0.8844864;0.8846096;0.88504016;0.88470006;0.88459504
0.8844015;0.88479537;0.88479435;0.88478833;0.8857055;0.8850949;0.88522243;0.88541615;0.8853826;0.8854801
0.8848704;0.8848069;0.8848457;0.8852571;0.8850928;0.8854257;0.885174;0.8857278;0.8856896;0.8854753
0.88443977;0.88432604;0.8840501;0.8841567;0.8845657;0.8842113;0.88440406;0.88446677;0.8843898;0.8842822
0.8844041;0.88439316;0.8849975;0.88444513;0.8846871;0.8841328;0.88465595;0.884337;0.8838517;0.88439256
0.88451177;0.8842976;0.8846141;0.8846573;0.8843419;0.8847432;0.8845792;0.8845357;0.88463885;0.88396615
0.88436794;0.88451844;0.8844595;0.88437784;0.88446337;0.88427377;0.8847415;0.8845042;0.88421977;0.8849291
0.8851371;0.8854061;0.8862237;0.88630825;0.88642824;0.887242;0.8882309;0.88882333;0.8886015;0.889233
0.88452095;0.88497835;0.8852417;0.8852984;0.8862902;0.88644475;0.88655597;0.8869153;0.88781375;0.8877554
0.8844078;0.8845952;0.8846662;0.8847462;0.88535917;0.88535273;0.885476;0.88591605;0.8855859;0.8859684
0.88442594;0.8846278;0.8848687;0.8846897;0.88517094;0.88533694;0.88520306;0.8857173;0.88582927;0.88628644
0.8843246;0.8847561;0.8845794;0.8847085;0.8849873;0.8848973;0.8851777;0.8846121;0.88510126;0.8855401
0.8861784;0.88759685;0.8893862;0.8912198;0.8925061;0.89431137;0.8960246;0.8974465;0.8991911;0.90029
0.8858765;0.8877506;0.8891243;0.88995147;0.89223516;0.8940007;0.89537007;0.896494;0.8979895;0.8994044
0.8868561;0.8892251;0.8924186;0.89446294;0.8970776;0.8996427;0.90214837;0.90484303;0.90770584;0.9101773
0.88444483;0.8847216;0.8853206;0.88543576;0.8862523;0.88650036;0.8867609;0.88706154;0.8874506;0.88766545
0.8845912;0.8846785;0.8846475;0.885521;0.8853866;0.8857323;0.88600934;0.8864476;0.8865436;0.88665533
0.8853439;0.8865489;0.88721687;0.8885567;0.8891573;0.8901734;0.8909861;0.8918743;0.892863;0.89350015
