f1_0.1;f1_0.2;f1_0.3;f1_0.4;f1_0.5;f1_0.6;f1_0.7;f1_0.8;f1_0.9;f1_1.0
0.69899756;0.6989864;0.69904435;0.6988393;0.69918066;0.6988021;0.69900024;0.69920015;0.6987689;0.69886225
0.6991219;0.6995376;0.6998253;0.69975144;0.7005382;0.70052296;0.7008425;0.7012628;0.7013767;0.70140356
0.6989851;0.6991183;0.69967383;0.6995838;0.6996427;0.70012075;0.6994492;0.6999399;0.69999;0.7001344
0.70303214;0.7073128;0.71104956;0.71557814;0.72014266;0.72409195;0.72872245;0.73289335;0.73743904;0.7421807
0.6988492;0.69896716;0.6992608;0.69967717;0.69976485;0.700077;0.7002113;0.69974816;0.7002532;0.7002954
0.6988911;0.69900143;0.69877374;0.69895095;0.6993029;0.699213;0.6993093;0.6989728;0.69921213;0.6991426
0.6989671;0.7000479;0.69992805;0.7000633;0.70017135;0.70118773;0.70125544;0.70124775;0.70134425;0.701576
0.7029144;0.7067032;0.7099239;0.713752;0.71796024;0.7219011;0.72508895;0.72857267;0.73248637;0.7357832
0.69667786;0.694175;0.6919506;0.6895822;0.68666834;0.6839821;0.6810912;0.6782157;0.67499864;0.67185307
0.6991362;0.699495;0.7003646;0.70032406;0.70059234;0.70067453;0.701292;0.70174766;0.70190066;0.7024778
0.69914705;0.69926375;0.6992455;0.69963425;0.70010674;0.6999332;0.70028776;0.7003561;0.7005717;0.70069236
0.7020065;0.70547616;0.7085825;0.71199816;0.7151103;0.7187018;0.72182554;0.72451603;0.7282466;0.7312211
0.70033324;0.70170546;0.70337844;0.7048814;0.7063535;0.7076285;0.7088991;0.7107171;0.7122574;0.7134463
0.70007765;0.70110863;0.70308423;0.70448965;0.7057074;0.7069498;0.7080467;0.70916617;0.71033525;0.7116841
0.7009637;0.7030258;0.70490944;0.7069721;0.7091131;0.7107756;0.7130224;0.71543175;0.7174811;0.7195335
0.6996576;0.6999695;0.7008843;0.70136803;0.70105475;0.70236176;0.7029869;0.70282155;0.70349896;0.7036663
0.7017664;0.7051875;0.708583;0.711734;0.7143813;0.71756524;0.7206359;0.72376835;0.7267345;0.7294516
0.69999623;0.7007827;0.70151365;0.7028317;0.7034987;0.7044891;0.7055481;0.7067083;0.7073676;0.7087683
