f3_0.1;f3_0.2;f3_0.3;f3_0.4;f3_0.5;f3_0.6;f3_0.7;f3_0.8;f3_0.9;f3_1.0
0.33273268;0.33270964;0.33259013;0.33280364;0.33268794;0.33273932;0.33277908;0.33271095;0.33262542;0.3328156
0.33268747;0.33288446;0.33261493;0.33255616;0.33265167;0.33275506;0.332521;0.33258265;0.33265433;0.32991916
0.33281678;0.33265895;0.33273122;0.33265558;0.33273366;0.33257857;0.33283114;0.33264822;0.33247322;0.3320432
0.33300263;0.33267522;0.33271784;0.33273557;0.33283564;0.33255884;0.3326488;0.3325565;0.33247325;0.25867167
0.33294702;0.33267304;0.33267164;0.33284968;0.33268505;0.33254126;0.3326897;0.33277702;0.33283395;0.33060902
0.33278358;0.33266672;0.3327282;0.3328131;0.3327143;0.33241063;0.3327874;0.33241913;0.33274364;0.33222863
0.33255213;0.33269045;0.33122122;0.33123976;0.33043796;0.33050665;0.3305261;0.32999817;0.3299814;0.32940492
0.33303067;0.33246544;0.32789773;0.32809258;0.32261515;0.322792;0.32243305;0.31710288;0.31718573;0.2867229
0.33271378;0.3326822;0.36167297;0.36146757;0.3894594;0.3895284;0.38958248;0.41539708;0.41549274;0.38875407
0.3327448;0.3326829;0.3327722;0.33263448;0.33053502;0.33055836;0.33060995;0.3305834;0.33048812;0.32920042
0.3328075;0.33259964;0.33257753;0.33289325;0.3322832;0.33219367;0.33220354;0.33228266;0.3322049;0.33149117
0.33254912;0.3326208;0.33262008;0.33294925;0.32635784;0.3263587;0.32638586;0.32684088;0.3264793;0.2839334
0.33271065;0.3334412;0.33451846;0.3350364;0.3348978;0.33443874;0.33254722;0.33005822;0.3277388;0.32699534
0.33252472;0.3335656;0.3343989;0.33442873;0.3339708;0.3335786;0.33205542;0.3302792;0.32906547;0.32893696
0.33278677;0.33452147;0.33774292;0.33937892;0.34081239;0.34236303;0.34273693;0.34245166;0.34075412;0.32791364
0.33267444;0.33267403;0.33279997;0.3306823;0.33068907;0.3307618;0.3294308;0.32933083;0.32947293;0.32859924
0.33269536;0.3328721;0.33273512;0.3273011;0.32723495;0.3271787;0.32233682;0.32206506;0.32198066;0.2907289
0.33346242;0.3341492;0.3347406;0.33567113;0.33619508;0.33593765;0.33623144;0.33573133;0.33472902;0.3284469
