f2_0.1;f2_0.2;f2_0.3;f2_0.4;f2_0.5;f2_0.6;f2_0.7;f2_0.8;f2_0.9;f2_1.0
0.88434273;0.8844648;0.8844405;0.88471496;0.8842541;0.8847738;0.8842878;0.88442665;0.88437366;0.88432175
0.8847155;0.88438535;0.8851376;0.88474596;0.8849976;0.88513166;0.8846997;0.88535845;0.88471144;0.88559896
0.88444585;0.8842935;0.88473564;0.8851855;0.8847574;0.8847155;0.8846606;0.8852862;0.88521487;0.88511336
0.8844322;0.8848895;0.88489014;0.8847671;0.8844029;0.8844592;0.8844012;0.88452095;0.88412255;0.8846492
0.8844298;0.8841652;0.8845403;0.88459057;0.8842018;0.8842107;0.88446665;0.8844979;0.8843636;0.88436526
0.8844231;0.88455844;0.8843453;0.88436276;0.88456994;0.8839915;0.88459504;0.884561;0.88465565;0.8845547
0.8842118;0.8844926;0.8843359;0.884479;0.88387597;0.8842154;0.8846686;0.8846477;0.88454616;0.8844122
0.8849889;0.8856668;0.8856098;0.8862225;0.88668656;0.88746804;0.88784635;0.8875905;0.8882151;0.8888105
0.8845002;0.884764;0.88501;0.88505995;0.8852213;0.8856834;0.88615733;0.88672525;0.8863771;0.8866952
0.8844685;0.88531107;0.8849127;0.8844154;0.8852965;0.885268;0.8851085;0.8851027;0.8855092;0.8859707
0.88415015;0.88498425;0.88460124;0.8847732;0.88503736;0.88506776;0.8853559;0.88526493;0.885895;0.885174
0.8841639;0.8844625;0.884689;0.8849336;0.88473475;0.8849089;0.8850382;0.88495135;0.88504374;0.8852186
0.88627464;0.88818073;0.8902048;0.89253026;0.8944097;0.89644563;0.89771736;0.89921933;0.90010625;0.90039015
0.8859759;0.88903767;0.89074004;0.8931691;0.8952233;0.89664894;0.89771307;0.8991448;0.9001005;0.8998194
0.8867239;0.89025676;0.89260167;0.8952393;0.8977656;0.90032715;0.90263397;0.90548825;0.9077233;0.9099371
0.88488877;0.8853378;0.88531107;0.8858687;0.8864022;0.88608366;0.8861444;0.88678104;0.88734317;0.88780016
0.884522;0.88442594;0.88425237;0.8850255;0.88595164;0.8851557;0.88542897;0.885836;0.8862577;0.88610077
0.88541186;0.88641363;0.8871624;0.88835305;0.8891019;0.8903567;0.89132434;0.8914588;0.8921507;0.8934786
