f0_0.1;f0_0.2;f0_0.3;f0_0.4;f0_0.5;f0_0.6;f0_0.7;f0_0.8;f0_0.9;f0_1.0
0.57883453;0.576894;0.5770353;0.5770721;0.57724404;0.577451;0.5774263;0.57682395;0.5773774;0.57667166
0.5773926;0.57797396;0.5786083;0.57897854;0.5793367;0.5790028;0.57978666;0.5805542;0.58083;0.5807996
0.5775327;0.5774535;0.5773412;0.5777977;0.5779235;0.5780925;0.5779513;0.57866305;0.5784384;0.5781893
0.58473206;0.5922709;0.60008276;0.60698074;0.61493987;0.6229682;0.63118273;0.6386666;0.6468309;0.6554376
0.5772786;0.5778407;0.5779203;0.57838815;0.5783871;0.578586;0.5785162;0.57904583;0.57955354;0.5796897
0.5770417;0.57709706;0.57695633;0.577303;0.57737875;0.57723635;0.5773227;0.5778583;0.57726336;0.5774098
0.5779566;0.5782866;0.5789239;0.5791453;0.57990295;0.5798469;0.58035797;0.5807869;0.5809731;0.5811755
0.5825184;0.58849204;0.5940252;0.59970325;0.6056668;0.6112473;0.61627984;0.62215793;0.627306;0.6321622
0.57269245;0.5675359;0.5627016;0.5575774;0.5517179;0.5461781;0.5403985;0.53440815;0.5284365;0.52209276
0.57774127;0.57822126;0.5787426;0.57931274;0.57935965;0.57965696;0.58062637;0.58054614;0.5814733;0.5816533
0.577365;0.5775717;0.5778632;0.57787645;0.57756114;0.5782879;0.578678;0.57840127;0.5785648;0.5789823
0.5826233;0.5879731;0.5936189;0.598955;0.60453296;0.60981864;0.6155051;0.62095475;0.6259886;0.63160956
0.57847166;0.5800712;0.58102053;0.5822956;0.5838938;0.5852305;0.5864134;0.58782375;0.5892379;0.5907793
0.5782625;0.5795027;0.58080155;0.5818682;0.58341223;0.58415437;0.5850401;0.58649355;0.58764744;0.58865356
0.578904;0.58061975;0.58237606;0.58367693;0.5857869;0.58711326;0.58891547;0.5908527;0.59252304;0.59425396
0.57788247;0.57851297;0.57915366;0.5798609;0.58041483;0.5808083;0.58165354;0.58201075;0.5828214;0.58344
0.5823876;0.5871718;0.59163153;0.5966475;0.60144895;0.6066231;0.611665;0.61635286;0.62073106;0.6256283
0.57847965;0.57916963;0.5795693;0.58030164;0.5817739;0.5826191;0.583496;0.58451724;0.5852376;0.58652085
