f0_0.1;f0_0.2;f0_0.3;f0_0.4;f0_0.5;f0_0.6;f0_0.7;f0_0.8;f0_0.9;f0_1.0
0.82060003;0.8209042;0.82104856;0.82099056;0.8209937;0.82073957;0.82091796;0.82049173;0.8211654;0.82074565
0.82051116;0.8211553;0.82109374;0.82162076;0.82107276;0.82109344;0.82128197;0.8217959;0.8216983;0.82206684
0.8209047;0.8204486;0.8212651;0.8212827;0.8209348;0.82125264;0.82100827;0.82174546;0.8214839;0.8217758
0.82072866;0.820386;0.82308376;0.82332754;0.823325;0.82366943;0.823392;0.8257715;0.82628953;0.8259271
0.8207693;0.8205052;0.8207424;0.8210079;0.8206543;0.82073414;0.82089174;0.82122916;0.8212911;0.82119846
0.8209042;0.8204196;0.82066506;0.8207096;0.82065564;0.8204162;0.82017446;0.82093155;0.8207202;0.8206458
0.82110226;0.8213642;0.821471;0.82144654;0.82206047;0.8224581;0.8213839;0.82171994;0.82208735;0.8220182
0.8227452;0.8251969;0.82476115;0.8272638;0.83017844;0.831776;0.8339602;0.83314884;0.8360954;0.8378499
0.8211863;0.821454;0.8211926;0.8207145;0.82171386;0.8218654;0.82176316;0.82156944;0.821494;0.8216784
0.8213634;0.8212231;0.8212773;0.82124674;0.82175654;0.8219177;0.8221287;0.821723;0.82259226;0.8222971
0.8211028;0.8212037;0.8214536;0.82078457;0.8214901;0.82162285;0.82151896;0.8218372;0.82185745;0.82202595
0.82099044;0.8236842;0.8234535;0.82289183;0.8236165;0.826041;0.82607317;0.82562274;0.8286902;0.82886785
0.82270527;0.82470393;0.826698;0.828289;0.829903;0.8320585;0.833525;0.8347447;0.8356744;0.8363922
0.822741;0.8250046;0.8268478;0.82901335;0.83030266;0.83154047;0.8332357;0.83413595;0.83503205;0.83515936
0.8233538;0.8258785;0.8287035;0.8309469;0.83322906;0.8356093;0.83785206;0.84037286;0.84242153;0.8446382
0.821503;0.8212953;0.821619;0.82216036;0.82296294;0.823106;0.8231698;0.8237759;0.8238128;0.82369727
0.8229636;0.8228696;0.823098;0.82562923;0.8276322;0.82754904;0.8276128;0.8294101;0.8317785;0.8320409
0.8219539;0.8226189;0.82375157;0.8247837;0.82547784;0.82643193;0.8274415;0.8281886;0.82941073;0.8304561
