f2_0.25;f2_0.5;f2_0.75;f2_1.0
0.8837901;0.8858976;0.8842372;0.8858795
0.88536;0.88565755;0.8859926;0.88622355
0.8839603;0.885399;0.8848068;0.8867586
0.8856156;0.8840166;0.8846186;0.8851107
0.88356644;0.8844167;0.8821696;0.8855163
0.88544726;0.8845914;0.88441396;0.8844136
0.8848097;0.88474554;0.8843619;0.88492864
0.88780296;0.8882292;0.88834906;0.88980466
0.8848274;0.8858831;0.8863199;0.887162
0.8865033;0.88444954;0.8859897;0.8860967
0.88423914;0.88562196;0.885232;0.885562
0.8844074;0.8850083;0.8851834;0.8861929
0.88775325;0.89242834;0.89641947;0.9010308
0.8884822;0.89180976;0.89624715;0.89991015
0.8899075;0.8961898;0.90342104;0.9105588
0.8844164;0.8852848;0.8863413;0.88872963
0.88612276;0.88617533;0.8844682;0.88623446
0.8866723;0.8889088;0.8917827;0.8933841
