f2_0.25;f2_0.5;f2_0.75;f2_1.0
0.88443583;0.883252;0.8848967;0.88596123
0.884107;0.88582754;0.8830401;0.8851871
0.8844806;0.88391805;0.8844636;0.8858513
0.88452;0.884791;0.88552254;0.884376
0.88461477;0.884213;0.88425833;0.8848398
0.88494843;0.8841351;0.88396233;0.8849744
0.8838902;0.8839159;0.88451767;0.8844423
0.88771045;0.8874585;0.88841295;0.88941556
0.88774717;0.8891506;0.8898077;0.8878474
0.8842809;0.886213;0.8858733;0.88532746
0.8844547;0.88435346;0.88522077;0.8865021
0.8847538;0.88691926;0.88575953;0.88583106
0.89220977;0.89935464;0.9015607;0.90173113
0.8915804;0.89805454;0.90057623;0.89941835
0.895215;0.906598;0.9087952;0.9103956
0.8835873;0.88507134;0.88654125;0.8879856
0.8848781;0.88576883;0.8856885;0.88614124
0.8882795;0.89301157;0.8934098;0.89433646
