f2_0.25;f2_0.5;f2_0.75;f2_1.0
0.88411975;0.8844652;0.8835011;0.8832905
0.8822823;0.8838416;0.88563573;0.885778
0.8855133;0.88525546;0.88585895;0.8851766
0.8840879;0.88473463;0.8843871;0.8846074
0.8838783;0.88482666;0.88360256;0.884252
0.88456064;0.8854939;0.8848704;0.8852261
0.8835809;0.8843841;0.8854001;0.88494027
0.8863654;0.88746625;0.8876708;0.8889894
0.88505197;0.8860629;0.88547343;0.88752234
0.8843706;0.88538;0.88505673;0.8854968
0.8843093;0.88576025;0.88582116;0.88461137
0.8846946;0.884613;0.88484573;0.8854876
0.88910586;0.8947097;0.8979749;0.9008853
0.8884695;0.89433223;0.8992001;0.8997037
0.89097923;0.8977671;0.9039882;0.9104709
0.8857872;0.88684666;0.88586456;0.88693863
0.8854723;0.88583714;0.8845605;0.88613
0.88615376;0.8882901;0.89093614;0.89405495
