f0_0.25;f0_0.5;f0_0.75;f0_1.0
0.8201845;0.8208927;0.8210901;0.82099986
0.8208093;0.82198715;0.82136095;0.8230787
0.8210316;0.8220016;0.82194775;0.8221653
0.82137614;0.8224041;0.8269757;0.8263644
0.8203728;0.81978613;0.81894004;0.8200618
0.8207963;0.81993425;0.8213822;0.82195705
0.82138216;0.82198083;0.8218418;0.82153124
0.8252489;0.8289844;0.834888;0.8386925
0.8209252;0.8219031;0.8210381;0.82145506
0.82223845;0.82207143;0.8212708;0.82223
0.8210822;0.82068807;0.8224307;0.82298803
0.82266676;0.82368934;0.82646185;0.8279758
0.8258524;0.83033663;0.83346415;0.83693194
0.82533467;0.82948136;0.8344152;0.8357781
0.8264595;0.83372325;0.83896005;0.8446836
0.82125795;0.82324195;0.82473135;0.824177
0.82443905;0.8274761;0.8294273;0.8316932
0.8221701;0.8255355;0.8277589;0.8296585
