f1_0.25;f1_0.5;f1_0.75;f1_1.0
0.42264795;0.4226674;0.4222986;0.42206684
0.42142928;0.42106202;0.41867232;0.41937453
0.4224994;0.42052528;0.42194337;0.42074546
0.42244306;0.39812526;0.37294975;0.37221187
0.42232427;0.4197104;0.42068172;0.41906923
0.42093515;0.42136663;0.42212018;0.42203096
0.42095724;0.41724026;0.4173927;0.41793245
0.40958482;0.3961109;0.3840131;0.3724964
0.42962578;0.43996483;0.449884;0.46524474
0.4199961;0.4214945;0.41996434;0.41919848
0.4229152;0.42166993;0.42033157;0.42034146
0.4077852;0.40838212;0.39444184;0.38023835
0.41827932;0.41424346;0.41162738;0.4080721
0.4175163;0.4151947;0.4120827;0.409901
0.41807452;0.4134016;0.4106779;0.40596923
0.4204147;0.41826442;0.4173069;0.41794387
0.41413307;0.39691398;0.38904175;0.38105634
0.42023647;0.41819412;0.41640228;0.41311097
