f3_0.25;f3_0.5;f3_0.75;f3_1.0
0.33223206;0.33299425;0.33272532;0.3319525
0.33199537;0.3314068;0.3304149;0.33057517
0.3322109;0.3327559;0.3325046;0.33209315
0.314508;0.29717693;0.27825102;0.2589957
0.33192882;0.33144036;0.3307686;0.33024514
0.33229935;0.33280605;0.3326083;0.3320335
0.331933;0.33098957;0.32989386;0.3289678
0.32156244;0.3098082;0.29765695;0.28679022
0.34514192;0.35876432;0.37265503;0.38870898
0.3320309;0.331077;0.3296011;0.3299711
0.33249497;0.33196214;0.3324135;0.331365
0.32043207;0.30767336;0.29618752;0.28423625
0.33163083;0.33012614;0.3287515;0.32677567
0.33137795;0.33072865;0.32933816;0.32832503
0.33126253;0.330339;0.32913476;0.32785124
0.33135104;0.33062118;0.32904744;0.32900548
0.3221199;0.31184685;0.30101287;0.29118255
0.33204198;0.3300161;0.32918584;0.32864454
