f1_0.25;f1_0.5;f1_0.75;f1_1.0
0.42235485;0.42116162;0.4228049;0.4216222
0.42165974;0.42163736;0.4218825;0.4178002
0.42244574;0.42040828;0.4210722;0.4203973
0.42209938;0.4219049;0.4223923;0.34327263
0.4219034;0.4214895;0.42177662;0.41943675
0.4220006;0.42201337;0.42124486;0.42205703
0.41943666;0.42027742;0.4185054;0.41674295
0.41358542;0.40656814;0.39831948;0.36644235
0.44986722;0.47903505;0.50394076;0.47675124
0.42282748;0.419217;0.41813576;0.41742977
0.42131808;0.42046824;0.42191768;0.4193839
0.4223872;0.41382408;0.41206512;0.366792
0.42128772;0.4174062;0.4128933;0.4072777
0.41997552;0.41756153;0.41451648;0.4115965
0.42088062;0.42319322;0.42315105;0.40575925
0.4223779;0.420505;0.4179979;0.41503355
0.42128092;0.4135094;0.4061957;0.37413096
0.4224964;0.421786;0.42096502;0.412184
