f1_0.25;f1_0.5;f1_0.75;f1_1.0
0.42222676;0.4215946;0.4232106;0.42246103
0.42084455;0.42032456;0.41935363;0.4177932
0.4212928;0.42150378;0.4206945;0.420505
0.4037056;0.38438043;0.36411327;0.3432883
0.42183706;0.41993117;0.4193121;0.41906634
0.42205945;0.42231008;0.42270848;0.4220999
0.4197046;0.41963735;0.41846943;0.4173929
0.40798882;0.3957876;0.3798998;0.3672819
0.4342972;0.4470198;0.4612102;0.47723106
0.42092827;0.41966403;0.4182937;0.41776192
0.42042318;0.42033836;0.42021847;0.41972336
0.4087929;0.39456013;0.3797974;0.36710578
0.41872677;0.41437113;0.41203976;0.407517
0.4192955;0.41587943;0.41407743;0.40906152
0.41704285;0.41406062;0.40845743;0.40405163
0.42008013;0.41780138;0.4172077;0.41615635
0.4106032;0.3969004;0.3861906;0.3741006
0.419305;0.4173047;0.41425025;0.41294065
