f0_0.25;f0_0.5;f0_0.75;f0_1.0
0.81978524;0.8204349;0.82074225;0.820087
0.8205853;0.81964606;0.82161903;0.8225759
0.82137245;0.8211496;0.8202628;0.8213977
0.8212458;0.82003194;0.82049733;0.82873064
0.8211682;0.82043725;0.8216435;0.82267565
0.820282;0.8199205;0.82078266;0.8212091
0.82166415;0.82372785;0.8218097;0.8218473
0.8276913;0.832415;0.8367116;0.8379084
0.821341;0.8221035;0.821536;0.8210235
0.8199079;0.8233339;0.8229777;0.8229927
0.8206007;0.8210809;0.82314914;0.8211923
0.8193831;0.82748693;0.8266096;0.8322504
0.82564706;0.83272445;0.8352364;0.8372771
0.82573134;0.83029824;0.8343752;0.833476
0.8264472;0.83446425;0.83921516;0.8452995
0.82065535;0.82073176;0.8229763;0.8241494
0.82100433;0.8265896;0.831303;0.8338956
0.8228191;0.82690996;0.82955855;0.8312938
